Species,Assembly name,Species_Tree,Taxonomic Lineage
Manis_javanica,HLmanJav1,Manis_javanica,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Manis
Manis_javanica,HLmanJav2,Manis_javanica,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Manis
Manis_pentadactyla,HLmanPen2,Manis_pentadactyla,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Manis
Manis_pentadactyla,manPen1,Manis_pentadactyla,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Manis
Marmota_marmota_marmota,HLmarMar1,Marmota_marmota,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota; Marmota marmota
Megaderma_lyra,HLmegLyr2,Megaderma_lyra,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Megadermatidae; Megaderma
Mellivora_capensis,HLmelCap1,Mellivora_capensis,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Mellivoriane; Mellivora
Meriones_unguiculatus,HLmerUng1,Meriones_unguiculatus,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Gerbillinae; Meriones
Mesocricetus_auratus,HLmesAur2,Mesocricetus_auratus,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Cricetinae; Mesocricetus
Mesocricetus_auratus,mesAur1,Mesocricetus_auratus,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Cricetinae; Mesocricetus
Mesoplodon_bidens,HLmesBid1,Mesoplodon_bidens,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Ziphiidae; Mesoplodon
Microcebus_murinus,micMur3,Microcebus_murinus,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Microcebus
Microgale_talazaci,HLmicTal1,Microgale_talazaci,Mammalia; Theria; Eutheria; Afrotheria; Tenrecidae; Oryzorictinae; Microgale
Micronycteris_hirsuta,HLmicHir1,Micronycteris_hirsuta,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Phyllostominae; Micronycteris
Microtus_ochrogaster,micOch1,Microtus_ochrogaster,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Microtus
Miniopterus_natalensis,HLminNat1,Miniopterus_natalensis,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Miniopterinae; Miniopterus
Miniopterus_schreibersii,HLminSch1,Miniopterus_schreibersii,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Miniopterinae; Miniopterus
Mirounga_angustirostris,HLmirAng2,Mirounga_angustirostris,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Mirounga
Mirza_coquereli,HLmirCoq1,Mirza_coquereli,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Mirza
Monodon_monoceros,HLmonMon1,Monodon_monoceros,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Monodontidae; Monodon
Mormoops_blainvillei,HLmorBla1,Mormoops_blainvillei,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Mormoopidae; Mormoops
Moschus_moschiferus,HLmosMos1,Moschus_moschiferus,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Moschidae; Moschus
